Age,Speed,HorzSpeed,VertSpeed,Distance,TotalDisplacement,HorzDisplacement,VertDisplacement,Pitch,Heading,AngleOfAttack,ForceLS.x,ForceLS.y,ForceLS.z,TorqueLS.x,TorqueLS.y,TorqueLS.z,FrictionLS.x,FrictionLS.y,FrictionLS.z,TorqueFrictionLS.x,TorqueFrictionLS.y,TorqueFrictionLS.z,VelocityLS.x,VelocityLS.y,VelocityLS.z
0.000000,77.074913,77.073196,0.515752,0.000000,0.000000,0.000000,0.000000,0.383401,65.786987,0.383401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033333,76.853165,76.852936,0.187519,2.565530,2.565530,2.565503,0.011723,0.139800,65.788116,0.243602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.066667,76.634155,76.634026,-0.140098,5.123663,5.123652,5.123637,0.012512,-0.104745,65.789307,0.367455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,76.417831,76.416405,-0.466457,7.674548,7.674501,7.674500,0.002403,-0.349738,65.790466,0.254467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.133333,76.204193,76.200073,-0.791870,10.218185,10.218069,10.218052,-0.018570,-0.595395,65.791626,0.251879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.166667,75.993225,75.985023,-1.116339,12.754778,12.754543,12.754445,-0.050373,-0.841704,65.792816,0.247462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,75.784920,75.771233,-1.440207,15.284428,15.284019,15.283735,-0.092983,-1.088908,65.794006,0.368681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.233333,75.579254,75.558678,-1.763156,17.807182,17.806528,17.805925,-0.146374,-1.336750,65.795197,0.368387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.266667,75.376205,75.347359,-2.084887,20.323143,20.322157,20.321068,-0.210506,-1.584989,65.796387,0.249975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,75.175766,75.137253,-2.406039,22.832355,22.830944,22.829165,-0.285355,-1.834094,65.797607,0.374655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,74.977921,74.928345,-2.726281,25.334978,25.333038,25.330322,-0.370892,-2.083798,65.798828,0.369177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.366667,74.782661,74.720612,-3.045627,27.830948,27.828360,27.824438,-0.467091,-2.334095,65.800049,0.365828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,74.589958,74.514053,-3.364068,30.320477,30.317106,30.311672,-0.573917,-2.584963,65.801300,0.355961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.433333,74.399796,74.308647,-3.681610,32.803612,32.799316,32.792030,-0.691345,-2.836390,65.802521,0.345772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.466667,74.212151,74.104370,-3.998251,35.280499,35.275120,35.265606,-0.819344,-3.088360,65.803772,0.331740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,74.027023,73.901215,-4.313991,37.751083,37.744457,37.732304,-0.957882,-3.340855,65.804993,0.314202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.533333,73.844406,73.699188,-4.628848,40.215622,40.207573,40.192333,-1.106930,-3.593873,65.806244,0.301564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.566667,73.664261,73.498245,-4.942820,42.674065,42.664391,42.645596,-1.266457,-3.847397,65.807495,0.284841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,73.486595,73.298401,-5.255916,45.126556,45.115055,45.092182,-1.436436,-4.101416,65.808746,0.268842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.633333,73.311378,73.099617,-5.568149,47.573151,47.559616,47.532120,-1.616837,-4.355926,65.809998,0.255820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.666667,73.138596,72.901871,-5.879821,48.253296,48.239101,48.210186,-1.670006,-4.611148,65.811279,0.370373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
